,user_id,Recency_x,Frequency_x,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMClass,max_created_date,min_created_date,new_max_date,new_min_date
0,0.00E+00,2426,3,3424.5499689400003,1,1,1,111,5/19/2018,1/2/2018,2018-05-19,2018-01-02
1,001cf,2423,1,976.3599854,1,4,3,143,5/22/2018,5/22/2018,2018-05-22,2018-05-22
2,001gt,2454,3,12843.399688500002,2,1,1,211,4/21/2018,3/24/2018,2018-04-21,2018-03-24
3,0021c,2472,1,976.3599854,2,4,3,243,4/3/2018,4/3/2018,2018-04-03,2018-04-03
4,002ef,2507,1,1362.7300034,4,4,1,441,2/27/2018,2/27/2018,2018-02-27,2018-02-27
5,0047d,2387,1,71.81999969,1,4,4,144,6/27/2018,6/27/2018,2018-06-27,2018-06-27
6,004df,2498,1,976.3599700899999,3,4,3,343,3/8/2018,3/8/2018,2018-03-08,2018-03-08
7,0059a,2519,1,499.0899963,4,4,3,443,2/15/2018,2/15/2018,2018-02-15,2018-02-15
8,005ed,2502,2,1184.5400161799998,3,1,2,312,3/4/2018,1/16/2018,2018-03-04,2018-01-16
9,005f8,2491,1,1090.00001527,2,4,2,242,3/15/2018,3/15/2018,2018-03-15,2018-03-15
10,007c7,2491,1,1279.99995405,2,4,2,242,3/15/2018,3/15/2018,2018-03-15,2018-03-15
11,008b6,2560,1,908.1799927,4,4,3,443,1/5/2018,1/5/2018,2018-01-05,2018-01-05
12,008c8,2492,1,1143.6400146600001,3,4,2,342,3/14/2018,3/14/2018,2018-03-14,2018-03-14
13,00a7d,2417,1,126.3600006,1,4,4,144,5/28/2018,5/28/2018,2018-05-28,2018-05-28
14,00b1a,2451,1,71.81999969,2,4,4,244,4/24/2018,4/24/2018,2018-04-24,2018-04-24
15,00c15,2506,1,71.81999969,4,4,4,444,2/28/2018,2/28/2018,2018-02-28,2018-02-28
16,00c1e,2505,1,1226.35995466,4,4,2,442,3/1/2018,3/1/2018,2018-03-01,2018-03-01
17,00c7c,2449,1,80.91000366,2,4,4,244,4/26/2018,4/26/2018,2018-04-26,2018-04-26
18,00c7e,2482,1,71.81999969,2,4,4,244,3/24/2018,3/24/2018,2018-03-24,2018-03-24
19,00cb2,2497,1,1298.1799543500001,3,4,2,342,3/9/2018,3/9/2018,2018-03-09,2018-03-09
20,00d13,2506,1,1226.35995466,4,4,2,442,2/28/2018,2/28/2018,2018-02-28,2018-02-28
21,00f3b,2401,1,22.68000031,1,4,4,144,6/13/2018,6/13/2018,2018-06-13,2018-06-13
22,00f4e,2502,1,2725.4499969,3,4,1,341,3/4/2018,3/4/2018,2018-03-04,2018-03-04
23,00f64,2477,1,976.3599854,2,4,3,243,3/29/2018,3/29/2018,2018-03-29,2018-03-29
24,0114e,2507,1,1362.7300034,4,4,1,441,2/27/2018,2/27/2018,2018-02-27,2018-02-27
25,014af,2467,1,208.1799927,2,4,4,244,4/8/2018,4/8/2018,2018-04-08,2018-04-08
26,0157f,2403,1,44.54000092,1,4,4,144,6/11/2018,6/11/2018,2018-06-11,2018-06-11
27,016c9,2550,1,908.1799927,4,4,3,443,1/15/2018,1/15/2018,2018-01-15,2018-01-15
28,0170c,2458,1,1421.81998015,2,4,1,241,4/17/2018,4/17/2018,2018-04-17,2018-04-17
29,018d5,2506,1,1362.7300034,4,4,1,441,2/28/2018,2/28/2018,2018-02-28,2018-02-28
30,018ma,2549,1,431.3599854,4,4,3,443,1/16/2018,1/16/2018,2018-01-16,2018-01-16
31,0194e,2388,1,362.730011,1,4,3,143,6/26/2018,6/26/2018,2018-06-26,2018-06-26
32,01a6f,2507,2,2316.3599546,4,1,1,411,2/27/2018,2/27/2018,2018-02-27,2018-02-27
33,01aca,2387,1,1229.72998,1,4,2,142,6/27/2018,6/27/2018,2018-06-27,2018-06-27
34,01ae6,2479,1,108.1800003,2,4,4,244,3/27/2018,3/27/2018,2018-03-27,2018-03-27
35,01b8d,2390,1,1636.359985,1,4,1,141,6/24/2018,6/24/2018,2018-06-24,2018-06-24
36,01cd0,2465,1,797.1400146,2,4,3,243,4/10/2018,4/10/2018,2018-04-10,2018-04-10
37,01cd6,2488,1,1285.44998515,2,4,2,242,3/18/2018,3/18/2018,2018-03-18,2018-03-18
38,01d2a,2438,1,317.2600098,2,4,3,243,5/7/2018,5/7/2018,2018-05-07,2018-05-07
39,01df9,2500,1,1298.1799543500001,3,4,2,342,3/6/2018,3/6/2018,2018-03-06,2018-03-06
40,01dfb,2498,1,180.9100037,3,4,4,344,3/8/2018,3/8/2018,2018-03-08,2018-03-08
41,01eaf,2501,1,1362.72998,3,4,1,341,3/5/2018,3/5/2018,2018-03-05,2018-03-05
42,01eb6,2499,1,1226.35995466,3,4,2,342,3/7/2018,3/7/2018,2018-03-07,2018-03-07
43,01f08,2441,1,44.54999924,2,4,4,244,5/4/2018,5/4/2018,2018-05-04,2018-05-04
44,01f6d,2416,1,1090.0,1,4,3,143,5/29/2018,5/29/2018,2018-05-29,2018-05-29
45,0208d,2387,1,226.3600006,1,4,4,144,6/27/2018,6/27/2018,2018-06-27,2018-06-27
46,0212d,2491,1,1226.35995466,2,4,2,242,3/15/2018,3/15/2018,2018-03-15,2018-03-15
47,021bc,2504,1,1226.35995466,4,4,2,442,3/2/2018,3/2/2018,2018-03-02,2018-03-02
48,022f3,2553,1,826.3499756,4,4,3,443,1/12/2018,1/12/2018,2018-01-12,2018-01-12
49,0265e,2468,1,108.1800003,2,4,4,244,4/7/2018,4/7/2018,2018-04-07,2018-04-07
50,0266d,2514,1,53.63999939,4,4,4,444,2/20/2018,2/20/2018,2018-02-20,2018-02-20
51,026f5,2506,1,1226.35995466,4,4,2,442,2/28/2018,2/28/2018,2018-02-28,2018-02-28
52,0271b,2498,1,1226.35995466,3,4,2,342,3/8/2018,3/8/2018,2018-03-08,2018-03-08
53,027a2,2451,1,1112.72998,2,4,2,242,4/24/2018,4/24/2018,2018-04-24,2018-04-24
