order_num,orderentry_num,productgroup,created_date,orderentry_revenue,user_id,customer_type,order_status,nettotalprice
180522-31324094,0,IM,5/22/2018,1074,001cf,REGISTERED,COMPLETED,976.3599854
180324-31208188,0,IM,3/24/2018,4871.75,001gt,GUEST,COMPLETED,4428.859863
180324-31214305,0,IM,4/21/2018,4384.25,001gt,GUEST,COMPLETED,3985.679932
180308-31159160,0,IM,3/9/2018,4438.120117,001gt,GUEST,COMPLETED,4034.649902
180308-31159160,1,IM,3/9/2018,433.6300049,001gt,GUEST,COMPLETED,394.2099915
180402-31223588,0,IM,4/3/2018,1074,0021c,REGISTERED,COMPLETED,976.3599854
180227-31100862,1,IM,2/27/2018,110.25,002ef,REGISTERED,COMPLETED,100.2300034
180227-31100862,0,IM,2/27/2018,1388.75,002ef,REGISTERED,COMPLETED,1262.5
180308-31147406,0,IM,3/8/2018,109.3499985,3.00E+08,REGISTERED,COMPLETED,99.41000366
180308-31147406,1,IM,3/8/2018,1239.650024,3.00E+08,REGISTERED,COMPLETED,1126.949951
180621-31411287,0,IM,6/27/2018,79,0047d,REGISTERED,COMPLETED,71.81999969
180308-31147407,0,IM,3/8/2018,107.1299973,004df,REGISTERED,COMPLETED,97.38999939
180308-31147407,1,IM,3/8/2018,966.8699951,004df,REGISTERED,COMPLETED,878.9699707
180516-31300969,0,VD,5/16/2018,1299,527,REGISTERED,COMPLETED,1180.910034
180301-31121447,1,IM,3/1/2018,1239.650024,579,REGISTERED,COMPLETED,1126.949951
180301-31121447,0,IM,3/1/2018,109.3499985,579,REGISTERED,COMPLETED,99.41000366
180215-31046903,0,IM,2/15/2018,205.6999969,0059a,REGISTERED,COMPLETED,187
180215-31046903,1,IM,2/15/2018,343.2999878,0059a,REGISTERED,COMPLETED,312.0899963
180303-31142002,0,IM,3/4/2018,108.2600021,005ed,REGISTERED,COMPLETED,98.41999817
180303-31142002,1,IM,3/4/2018,1090.73999,005ed,REGISTERED,COMPLETED,991.5800171
180303-31142002,2,IM,3/4/2018,65,005ed,REGISTERED,COMPLETED,59.09000015
180116-30980466,0,IM,1/16/2018,39,005ed,REGISTERED,COMPLETED,35.45000076
180315-31183046,1,IM,3/15/2018,1090.73999,005f8,REGISTERED,COMPLETED,991.5800171
180315-31183046,0,IM,3/15/2018,108.2600021,005f8,REGISTERED,COMPLETED,98.41999817
180323-31212061,0,IM,3/23/2018,189,654,REGISTERED,COMPLETED,171.8200073
180313-31172063,0,IM,3/13/2018,109.3499985,665,REGISTERED,COMPLETED,99.41000366
180313-31172063,1,IM,3/13/2018,1239.650024,665,REGISTERED,COMPLETED,1126.949951
180309-31160484,0,IM,3/15/2018,109.3499985,007c7,REGISTERED,COMPLETED,99.41000366
180309-31160484,1,IM,3/15/2018,1239.650024,007c7,REGISTERED,COMPLETED,1126.949951
180309-31160484,2,IM,3/15/2018,59,007c7,REGISTERED,COMPLETED,53.63999939
180105-30968373,0,IM,1/5/2018,999,008b6,REGISTERED,COMPLETED,908.1799927
180314-31179144,2,IM,3/14/2018,59,008c8,REGISTERED,COMPLETED,53.63999939
180314-31179144,1,IM,3/14/2018,1090.73999,008c8,REGISTERED,COMPLETED,991.5800171
180314-31179144,0,IM,3/14/2018,108.2600021,008c8,REGISTERED,COMPLETED,98.41999817
180423-31255584,0,IM,4/23/2018,0.100000001,911,REGISTERED,COMPLETED,0.090000004
180429-31276170,0,CE,4/29/2018,267,936,REGISTERED,COMPLETED,242.7299957
180528-31333612,0,ETC,5/28/2018,139,00a7d,REGISTERED,COMPLETED,126.3600006
180424-31256666,0,IM,4/24/2018,79,00b1a,REGISTERED,COMPLETED,71.81999969
180228-31110310,0,IM,2/28/2018,79,00c15,REGISTERED,COMPLETED,71.81999969
180301-31118300,1,IM,3/1/2018,1239.650024,00c1e,REGISTERED,COMPLETED,1126.949951
180301-31118300,0,IM,3/1/2018,109.3499985,00c1e,REGISTERED,COMPLETED,99.41000366
180426-31269029,0,CE,4/26/2018,89,00c7c,REGISTERED,COMPLETED,80.91000366
180324-31211293,0,IM,3/24/2018,79,00c7e,REGISTERED,COMPLETED,71.81999969
180309-31159429,0,IM,3/9/2018,109.3499985,00cb2,REGISTERED,COMPLETED,99.41000366
180309-31159429,2,IM,3/9/2018,79,00cb2,REGISTERED,COMPLETED,71.81999969
180309-31159429,1,IM,3/9/2018,1239.650024,00cb2,REGISTERED,COMPLETED,1126.949951
180228-31116852,1,IM,2/28/2018,1239.650024,00d13,REGISTERED,COMPLETED,1126.949951
180228-31116852,0,IM,2/28/2018,109.3499985,00d13,REGISTERED,COMPLETED,99.41000366
180102-30962927,0,IM,1/2/2018,69,0.00E+00,REGISTERED,COMPLETED,62.72999954
180308-31155192,1,IM,3/8/2018,1388.75,0.00E+00,REGISTERED,COMPLETED,1262.5
180308-31155192,0,IM,3/8/2018,110.25,0.00E+00,REGISTERED,COMPLETED,100.2300034
180613-31387012,0,IM,6/13/2018,24.95000076,00f3b,REGISTERED,COMPLETED,22.68000031
180303-31139171,1,IM,3/4/2018,1388.75,00f4e,REGISTERED,COMPLETED,1262.5
180303-31139171,0,IM,3/4/2018,220.5,00f4e,REGISTERED,COMPLETED,200.4499969
180303-31139171,2,IM,3/4/2018,1388.75,00f4e,REGISTERED,COMPLETED,1262.5
180329-31219187,0,IM,3/29/2018,1074,00f64,REGISTERED,COMPLETED,976.3599854
180227-31096267,0,IM,2/27/2018,1388.75,0114e,REGISTERED,COMPLETED,1262.5
180227-31096267,1,IM,2/27/2018,110.25,0114e,REGISTERED,COMPLETED,100.2300034
180416-31247393,0,IM,4/16/2018,29,1161,REGISTERED,COMPLETED,26.36000061
180322-31206986,1,IM,3/22/2018,89,1367,REGISTERED,COMPLETED,80.91000366
180322-31206986,0,IM,3/22/2018,1349,1367,REGISTERED,COMPLETED,1226.359985
180408-31232469,0,IM,4/8/2018,229,014af,REGISTERED,COMPLETED,208.1799927
180227-31097437,1,IM,2/27/2018,218.0500031,1575,REGISTERED,COMPLETED,198.2299957
180227-31097437,0,IM,2/27/2018,1090.73999,1575,REGISTERED,COMPLETED,991.5800171
180227-31097437,2,IM,2/27/2018,1239.209961,1575,REGISTERED,COMPLETED,1126.550049
180611-31370326,0,IM,6/11/2018,48.99000168,0157f,REGISTERED,COMPLETED,44.54000092
180520-31307934,0,IM,5/21/2018,299,1656,REGISTERED,COMPLETED,271.8200073
180115-30979336,0,IM,1/15/2018,999,016c9,REGISTERED,COMPLETED,908.1799927
180417-31251554,0,IM,4/17/2018,65,0170c,REGISTERED,COMPLETED,59.09000015
180417-31251554,1,IM,4/17/2018,1499,0170c,REGISTERED,COMPLETED,1362.72998
180308-31156288,2,IM,3/8/2018,79,1740,REGISTERED,COMPLETED,71.81999969
180308-31156288,1,IM,3/8/2018,1388.75,1740,REGISTERED,COMPLETED,1262.5
180308-31156288,0,IM,3/8/2018,110.25,1740,REGISTERED,COMPLETED,100.2300034
180310-31159742,0,IM,3/10/2018,109.3499985,1755,REGISTERED,COMPLETED,99.41000366
180310-31159742,1,IM,3/10/2018,1239.650024,1755,REGISTERED,COMPLETED,1126.949951
180429-31277068,0,ETC,4/29/2018,41.97000122,1779,REGISTERED,COMPLETED,38.15000153
180130-31009032,0,IM,1/30/2018,79,1853,REGISTERED,COMPLETED,71.81999969
180228-31121865,0,IM,2/28/2018,110.25,018d5,REGISTERED,COMPLETED,100.2300034
180228-31121865,1,IM,2/28/2018,1388.75,018d5,REGISTERED,COMPLETED,1262.5
180116-30985359,0,CE,1/16/2018,474.5,018ma,GUEST,COMPLETED,431.3599854
180626-31418911,0,IM,6/26/2018,399,0194e,REGISTERED,COMPLETED,362.730011
180503-31279901,1,IM,2/27/2018,0,01a6f,REGISTERED,COMPLETED,0
180227-31090369,0,IM,2/27/2018,1239.650024,01a6f,REGISTERED,COMPLETED,1126.949951
180227-31090369,1,IM,2/27/2018,218.0399933,01a6f,REGISTERED,COMPLETED,198.2200012
180227-31090369,2,IM,2/27/2018,1090.310059,01a6f,REGISTERED,COMPLETED,991.1900024
180627-31418050,1,IM,6/27/2018,107.0999985,01aca,REGISTERED,COMPLETED,97.36000061
180627-31418050,2,ETC,6/27/2018,31.5,01aca,REGISTERED,COMPLETED,28.63999939
180627-31418050,0,IM,6/27/2018,1214.099976,01aca,REGISTERED,COMPLETED,1103.72998
180327-31213826,0,IM,3/27/2018,119,01ae6,REGISTERED,COMPLETED,108.1800003
180624-31409681,0,VD,6/24/2018,1800,01b8d,REGISTERED,COMPLETED,1636.359985
180410-31238608,0,IM,4/10/2018,876.8499756,01cd0,REGISTERED,COMPLETED,797.1400146
180314-31174237,1,IM,3/18/2018,65,01cd6,REGISTERED,COMPLETED,59.09000015
180314-31174237,0,IM,3/18/2018,1349,01cd6,REGISTERED,COMPLETED,1226.359985
180507-31285300,0,IM,5/7/2018,348.9899902,01d2a,REGISTERED,COMPLETED,317.2600098
180306-31149041,0,IM,3/6/2018,109.3499985,01df9,REGISTERED,COMPLETED,99.41000366
180306-31149041,2,IM,3/6/2018,79,01df9,REGISTERED,COMPLETED,71.81999969
180306-31149041,1,IM,3/6/2018,1239.650024,01df9,REGISTERED,COMPLETED,1126.949951
180308-31155047,0,IM,3/8/2018,199,01dfb,REGISTERED,COMPLETED,180.9100037
180305-31137690,0,IM,3/5/2018,1499,01eaf,REGISTERED,COMPLETED,1362.72998
180307-31149328,1,IM,3/7/2018,1239.650024,01eb6,REGISTERED,COMPLETED,1126.949951
180307-31149328,0,IM,3/7/2018,109.3499985,01eb6,REGISTERED,COMPLETED,99.41000366
180204-31018480,0,IM,5/4/2018,49,01f08,REGISTERED,COMPLETED,44.54999924
180524-31330961,0,IM,5/29/2018,1199,01f6d,REGISTERED,COMPLETED,1090
180627-31417105,0,VD,6/27/2018,249,0208d,REGISTERED,COMPLETED,226.3600006
180227-31096670,0,IM,2/27/2018,1388.75,2115,REGISTERED,COMPLETED,1262.5
180227-31096670,1,IM,2/27/2018,110.25,2115,REGISTERED,COMPLETED,100.2300034
180312-31170388,1,IM,3/15/2018,1239.650024,0212d,REGISTERED,COMPLETED,1126.949951
180312-31170388,0,IM,3/15/2018,109.3499985,0212d,REGISTERED,COMPLETED,99.41000366
180513-31291143,0,IM,5/13/2018,549,2139,REGISTERED,COMPLETED,499.0899963
180107-30971868,0,IM,1/7/2018,79,2151,REGISTERED,COMPLETED,71.81999969
180312-31170147,1,IM,3/13/2018,1090.73999,2159,REGISTERED,COMPLETED,991.5800171
180312-31170147,0,IM,3/13/2018,108.2600021,2159,REGISTERED,COMPLETED,98.41999817
180304-31139486,1,IM,3/4/2018,1239.650024,2178,REGISTERED,COMPLETED,1126.949951
180304-31139486,0,IM,3/4/2018,109.3499985,2178,REGISTERED,COMPLETED,99.41000366
180302-31124051,0,IM,3/2/2018,109.3499985,021bc,REGISTERED,COMPLETED,99.41000366
180302-31124051,1,IM,3/2/2018,1239.650024,021bc,REGISTERED,COMPLETED,1126.949951
180423-31256547,0,IM,4/23/2018,1349,2236,REGISTERED,COMPLETED,1226.359985
180122-30988613,0,IM,1/22/2018,598.9899902,2242,REGISTERED,COMPLETED,544.539978
180418-31247726,1,IM,4/18/2018,329,2278,REGISTERED,COMPLETED,299.0899963
180418-31247726,0,IM,4/18/2018,299,2278,REGISTERED,COMPLETED,271.8200073
180115-30982320,0,IM,1/15/2018,299,2288,REGISTERED,COMPLETED,271.8200073
180112-30972665,0,IM,1/12/2018,908.9899902,022f3,REGISTERED,COMPLETED,826.3499756
180404-31223847,1,IM,4/4/2018,59,2445,REGISTERED,COMPLETED,53.63999939
180404-31223847,0,IM,4/4/2018,59,2445,REGISTERED,COMPLETED,53.63999939
180129-31005007,0,IM,1/30/2018,1399,2449,REGISTERED,COMPLETED,1271.819946
180227-31101012,0,IM,2/27/2018,109.3499985,2588,REGISTERED,COMPLETED,99.41000366
180227-31101012,1,IM,2/27/2018,1239.650024,2588,REGISTERED,COMPLETED,1126.949951
180407-31237185,0,IM,4/7/2018,119,0265e,REGISTERED,COMPLETED,108.1800003
180220-31062130,0,IM,2/20/2018,59,0266d,REGISTERED,COMPLETED,53.63999939
180304-31139505,1,IM,3/6/2018,1090.73999,2685,REGISTERED,COMPLETED,991.5800171
180304-31139505,0,IM,3/6/2018,108.2600021,2685,REGISTERED,COMPLETED,98.41999817
180228-31116983,1,IM,2/28/2018,1239.650024,026f5,REGISTERED,COMPLETED,1126.949951
180228-31116983,0,IM,2/28/2018,109.3499985,026f5,REGISTERED,COMPLETED,99.41000366
180308-31161269,0,IM,3/8/2018,109.3499985,0271b,REGISTERED,COMPLETED,99.41000366
180308-31161269,1,IM,3/8/2018,1239.650024,0271b,REGISTERED,COMPLETED,1126.949951
180228-31117854,1,IM,2/28/2018,1239.650024,2744,REGISTERED,COMPLETED,1126.949951
180228-31117854,0,IM,2/28/2018,109.3499985,2744,REGISTERED,COMPLETED,99.41000366
180422-31260397,0,IM,4/22/2018,299,2749,REGISTERED,COMPLETED,271.8200073
180306-31148992,0,IM,3/6/2018,107.1299973,2760,REGISTERED,COMPLETED,97.38999939
180306-31148992,1,IM,3/6/2018,966.8699951,2760,REGISTERED,COMPLETED,878.9699707
180423-31261486,0,IM,4/24/2018,1224,027a2,REGISTERED,COMPLETED,1112.72998
180414-31246144,0,IM,4/16/2018,974.3499756,0282c,REGISTERED,COMPLETED,885.7700195
180611-31376265,0,IM,6/24/2018,649,2861,REGISTERED,COMPLETED,590
180301-31115748,2,IM,3/1/2018,1263.949951,2.80E+05,REGISTERED,COMPLETED,1149.050049
180301-31115748,1,IM,3/1/2018,110.0500031,2.80E+05,REGISTERED,COMPLETED,100.0500031
180301-31115748,0,IM,3/1/2018,89,2.80E+05,REGISTERED,COMPLETED,80.91000366
180316-31185273,0,IM,3/18/2018,499,2955,REGISTERED,COMPLETED,453.6400146
180304-31138481,0,IM,3/4/2018,89,029b3,REGISTERED,COMPLETED,80.91000366
180304-31138481,1,IM,3/4/2018,59,029b3,REGISTERED,COMPLETED,53.63999939
180522-31326120,0,IM,5/22/2018,1349,02ae9,REGISTERED,COMPLETED,1226.359985
180304-31143392,1,IM,3/4/2018,1090.73999,02af7,REGISTERED,COMPLETED,991.5800171
180304-31143392,0,IM,3/4/2018,108.2600021,02af7,REGISTERED,COMPLETED,98.41999817
180103-30963096,1,IM,1/3/2018,1399,02c02,REGISTERED,COMPLETED,1271.819946
180103-30963096,2,IM,1/3/2018,999,02c02,REGISTERED,COMPLETED,908.1799927
180103-30963096,4,IM,1/3/2018,119.9400024,02c02,REGISTERED,COMPLETED,109.0400009
180103-30963096,3,IM,1/3/2018,1148.98999,02c02,REGISTERED,COMPLETED,1044.540039
180103-30963096,0,IM,1/3/2018,1399,02c02,REGISTERED,COMPLETED,1271.819946
180324-31209385,0,IM,3/24/2018,89,02db9,REGISTERED,COMPLETED,80.91000366
180419-31259997,0,IM,4/19/2018,1349,2.00E+72,REGISTERED,COMPLETED,1226.359985
180521-31323004,0,IM,5/22/2018,89,02f18,REGISTERED,COMPLETED,80.91000366
180306-31145342,0,IM,3/6/2018,108.4599991,02f5e,REGISTERED,COMPLETED,98.59999847
180306-31145342,1,IM,3/6/2018,1115.540039,02f5e,REGISTERED,COMPLETED,1014.130005
180405-31232895,0,CE,4/5/2018,267,02ff4,REGISTERED,COMPLETED,242.7299957
180120-30991339,0,CE,1/20/2018,49,3099,REGISTERED,COMPLETED,44.54999924
180303-31143027,0,IM,3/3/2018,79,0313b,REGISTERED,COMPLETED,71.81999969
180606-31366200,0,IM,6/7/2018,1349,3190,REGISTERED,COMPLETED,1226.359985
180606-31366200,1,IM,6/7/2018,65,3190,REGISTERED,COMPLETED,59.09000015
180129-31003912,0,IM,1/29/2018,199,031ab,REGISTERED,COMPLETED,180.9100037
180228-31119908,0,IM,2/28/2018,110.25,3.10E+04,REGISTERED,COMPLETED,100.2300034
180228-31119908,1,IM,2/28/2018,1388.75,3.10E+04,REGISTERED,COMPLETED,1262.5
180312-31168226,0,IM,3/12/2018,108.2600021,0339c,REGISTERED,COMPLETED,98.41999817
180312-31168226,1,IM,3/12/2018,1090.73999,0339c,REGISTERED,COMPLETED,991.5800171
180318-31193851,0,IM,3/18/2018,89,033cb,REGISTERED,COMPLETED,80.91000366
180502-31276618,0,IM,5/2/2018,55,033d5,REGISTERED,COMPLETED,50
180127-30998528,0,IM,1/27/2018,343.2999878,3.30E+06,REGISTERED,COMPLETED,312.0899963
180127-30998528,1,IM,1/27/2018,205.6999969,3.30E+06,REGISTERED,COMPLETED,187
180628-31422934,0,IM,6/28/2018,299,033ed,REGISTERED,COMPLETED,271.8200073
180227-31097528,0,IM,2/27/2018,1388.75,0351b,REGISTERED,COMPLETED,1262.5
